"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.015198110E-1,-1.218169928E-6,8.951485157E-3,1.787662506E-2,1.999256891E-2
1.062907490E-1,4.513129592E-3,3.889292479E-3,7.781982422E-3,9.800723703E-3
1.110609570E-1,1.966204494E-3,3.700539470E-3,5.636215210E-4,4.228193669E-3
1.158318950E-1,-2.639688551E-3,3.508165479E-3,5.053520203E-3,6.694269722E-3
1.206036130E-1,-2.501521260E-3,3.309279680E-3,1.159286499E-2,1.231273565E-2
1.253745510E-1,-1.028142869E-4,5.431205034E-3,6.464958191E-3,8.444183993E-3
1.301447590E-1,4.488844424E-3,6.254017353E-4,-2.964973450E-3,5.415895047E-3
1.349156970E-1,-4.857480526E-3,5.827844143E-4,-5.115509033E-3,7.078360502E-3
1.396874150E-1,-1.223832369E-4,5.981326103E-4,-2.603530884E-3,2.674156566E-3
1.444584050E-1,4.469800740E-3,-1.707702875E-3,-2.002716064E-4,4.789099757E-3
1.492285610E-1,-3.068558872E-4,-3.924444318E-3,-2.490997314E-3,4.658378619E-3
1.539995510E-1,-3.242678940E-4,3.090769053E-3,-9.155273438E-5,3.109081039E-3
1.587712700E-1,-2.618879080E-3,5.267411470E-3,1.143932343E-2,1.286321389E-2
1.635422070E-1,-1.902692020E-4,4.754215479E-4,8.722305298E-3,8.737324403E-3
1.683124150E-1,-1.849010587E-4,2.756208181E-3,3.797531128E-3,4.695967910E-3
1.730833530E-1,-2.494223416E-3,4.964262247E-3,3.670692444E-3,6.658756124E-3
1.778550720E-1,-2.415813506E-3,9.451553226E-3,-3.397941589E-3,1.033024783E-2
1.826260610E-1,-2.314131707E-3,1.146124303E-2,-5.610466003E-3,1.296890999E-2
1.873962170E-1,-2.245206386E-3,-2.801954746E-3,-7.972717285E-4,3.677981012E-3
1.921672070E-1,-2.180796117E-3,-9.677022696E-3,3.872871399E-3,1.064893294E-2
1.969389260E-1,2.531275153E-3,-4.763439298E-3,6.089210510E-3,8.134875075E-3
2.017098630E-1,4.814837128E-3,-2.317830920E-3,8.247375488E-3,9.827217266E-3
2.064800200E-1,2.471357584E-5,-2.241730690E-3,3.364562988E-3,4.043049758E-3
2.112510090E-1,-6.969999522E-3,1.616477966E-4,-3.717422485E-3,7.901028622E-3
2.160227280E-1,-6.792485714E-3,7.141143084E-3,-3.622055054E-3,1.050014617E-2
2.207936650E-1,-1.955386251E-3,6.976097822E-3,-3.531455994E-3,8.059817470E-3
2.255638740E-1,5.097787827E-3,1.146301627E-2,1.226425171E-3,1.260524897E-2
2.303348110E-1,3.005787730E-4,1.827329397E-3,-1.139640808E-3,2.174456598E-3
2.351065820E-1,4.968795925E-3,-7.583215833E-3,-8.128166199E-3,1.217625480E-2
2.398775200E-1,7.194772363E-3,1.961216331E-3,-9.241104126E-4,7.514326244E-3
2.446476760E-1,-4.670798779E-3,-7.404357195E-3,-7.926940918E-3,1.181004907E-2
2.494186650E-1,-6.884869188E-3,2.138495445E-3,-7.754325867E-3,1.058792502E-2
2.541903840E-1,-4.340231419E-3,6.820961833E-3,-2.904891968E-3,8.590781480E-3
2.589613740E-1,2.809751779E-3,2.003952861E-3,-2.844810486E-3,4.472524883E-3
2.637315300E-1,2.751629800E-3,1.920223236E-3,1.904487610E-3,3.858211618E-3
2.685024670E-1,3.772936761E-4,-4.789680243E-4,-4.796981812E-4,7.758036036E-4
2.732742380E-1,-6.673645228E-3,1.362724602E-2,-1.220607758E-2,1.947376965E-2
2.780451760E-1,-4.198893905E-3,1.335075498E-2,-1.197147369E-2,1.841709941E-2
2.828153320E-1,9.972248226E-3,1.339778304E-3,-9.536743164E-7,1.006184583E-2
2.875863220E-1,5.086395890E-3,3.622129560E-3,0.000000000E0,6.244297053E-3
2.923580400E-1,-4.437766969E-3,1.294395328E-2,2.349853516E-3,1.388385802E-2
2.971289780E-1,-4.360605031E-3,1.037536561E-2,2.307891846E-3,1.148866627E-2
3.018991860E-1,-4.285316914E-3,7.985234261E-4,-4.788398743E-3,6.475364332E-3
3.066701240E-1,-1.127111167E-2,-3.907278180E-3,-4.705429077E-3,1.282364394E-2
3.114418420E-1,-8.727774024E-3,-6.180971861E-3,-2.272605896E-3,1.093358085E-2
3.162128320E-1,5.569882691E-3,3.380641341E-3,-2.235412598E-3,6.888352383E-3
3.209829880E-1,3.150735050E-3,5.693674088E-3,2.511024475E-3,6.974976694E-3
3.257539780E-1,7.714517415E-4,5.615442991E-3,2.470970154E-3,6.183367309E-3
3.305256970E-1,7.579885423E-4,3.155574203E-3,4.787445068E-3,5.783755308E-3
3.352966340E-1,7.814563811E-3,7.833421230E-3,-2.357482910E-3,1.131316142E-2
3.400668420E-1,1.237984002E-2,3.011852503E-3,-9.391784668E-3,1.582837053E-2
3.448377800E-1,5.118016154E-3,5.935877562E-4,-2.177238464E-3,5.593460745E-3
3.496095510E-1,7.399212569E-3,2.956584096E-3,-9.219169617E-3,1.218535287E-2
3.543804880E-1,4.902452230E-3,-1.791223884E-3,-9.083747864E-3,1.047649732E-2
3.591506450E-1,2.442061901E-3,-4.139140248E-3,2.843856812E-3,5.584234047E-3
3.639216340E-1,2.376787364E-3,-1.706182957E-3,-4.276275635E-3,5.181381260E-3
3.686933530E-1,2.341654152E-3,3.052413464E-3,-2.073860168E-2,2.109241977E-2
3.734642900E-1,2.279169858E-3,-6.419554353E-3,-1.100635529E-2,1.294392328E-2
3.782344990E-1,-2.447575331E-3,-3.956675529E-3,5.672454834E-3,7.336392171E-3
3.830054360E-1,-7.167529315E-3,3.195658326E-3,8.726119995E-4,7.896021803E-3
3.877771550E-1,-1.179753616E-2,5.528867245E-3,-1.095008850E-2,1.701924413E-2
3.925481450E-1,-4.526969045E-3,7.832199335E-3,-1.553058624E-2,1.797319961E-2
3.973183010E-1,5.011394620E-3,5.982965231E-4,-1.296520233E-2,1.391288993E-2
4.020892900E-1,-4.478484392E-3,-1.816093922E-3,-1.516151428E-2,1.591309319E-2
4.068610090E-1,-2.059221268E-3,-1.807793975E-3,-1.496982574E-2,1.521854770E-2
4.116319470E-1,2.721983939E-3,-1.799881458E-3,-7.690429688E-3,8.354129435E-3
4.164021550E-1,5.051262677E-3,-4.156708717E-3,-5.230903625E-3,8.375907994E-3
4.211730920E-1,1.211149618E-2,-8.850514889E-3,-7.532119751E-3,1.678549319E-2
