"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.036918930E-1,2.176776528E-3,1.786179468E-2,1.117229462E-2,2.118023211E-2
1.084627260E-1,6.501339376E-3,1.675859839E-2,1.271820068E-2,2.201977889E-2
1.132327780E-1,8.343905210E-3,1.578557864E-2,2.774333954E-2,3.299239512E-2
1.180036630E-1,3.302484751E-3,1.715582609E-2,2.394199371E-2,2.963862071E-2
1.227752780E-1,8.592531085E-4,1.172979176E-2,1.134109497E-2,1.633850562E-2
1.275461110E-1,-1.459524035E-3,1.337643340E-2,3.951072693E-3,1.402391373E-2
1.323161630E-1,-1.391261816E-3,1.725784689E-2,-7.972717285E-4,1.733218195E-2
1.370870490E-1,-1.049789041E-2,2.557282150E-2,-7.610321045E-4,2.765418725E-2
1.418586630E-1,-7.725387812E-3,2.670941502E-2,-5.307197571E-3,2.830619744E-2
1.466294970E-1,-2.788700163E-3,2.326055989E-2,-7.381439209E-3,2.456249457E-2
1.513995490E-1,-1.184412837E-2,2.693985030E-2,-1.398086548E-2,3.258072299E-2
1.561703820E-1,-1.602159068E-2,3.282303736E-2,-2.495193481E-2,4.423394850E-2
1.609420490E-1,-1.315177232E-2,2.695446834E-2,-3.094482422E-2,4.309402075E-2
1.657128820E-1,-1.730048284E-2,1.207022369E-2,-1.598739624E-2,2.646873335E-2
1.704829340E-1,-2.826297283E-2,9.300332516E-3,-1.312446594E-2,3.251989275E-2
1.752537680E-1,-2.503557131E-2,8.920151740E-3,-2.657222748E-2,3.758233908E-2
1.800253820E-1,-1.264485344E-2,6.245285273E-3,-6.510162354E-2,6.661169037E-2
1.847962680E-1,-1.230668649E-2,3.632929176E-3,-3.987312317E-2,4.188697480E-2
1.895663200E-1,-2.648897469E-3,5.829945207E-3,1.937389374E-2,2.040472194E-2
1.943371530E-1,-4.896014929E-3,2.190980315E-2,1.183319092E-2,2.537784159E-2
1.991087680E-1,-2.100956440E-2,2.356732637E-2,-2.106380463E-2,3.795397915E-2
2.038796010E-1,-1.580002904E-2,-4.336088896E-4,-2.978992462E-2,3.372341239E-2
2.086497050E-1,-6.084822118E-3,-2.821438015E-3,5.957603455E-3,8.970987215E-3
2.134205380E-1,-8.257128298E-3,4.175666720E-3,1.978683472E-2,2.184342437E-2
2.181921530E-1,-3.353215754E-3,6.386581808E-3,4.027366638E-2,4.091455349E-2
2.229629860E-1,6.122253835E-3,3.822136670E-3,6.961154938E-2,6.998470210E-2
2.277330910E-1,-1.007504761E-3,1.072148979E-2,6.791400909E-2,6.876247553E-2
2.325039240E-1,-5.687102675E-3,2.450229600E-2,4.292583466E-2,4.975271779E-2
2.372755380E-1,3.825560212E-3,2.157948539E-2,-4.840850830E-3,2.244421835E-2
2.420463720E-1,6.105042994E-3,-3.887340426E-5,2.802562714E-2,2.868290148E-2
2.468164760E-1,8.308798075E-3,-1.415394060E-2,8.358383179E-2,8.517996887E-2
2.515873090E-1,1.044075936E-2,-4.520740360E-3,7.005786896E-2,7.097571100E-2
2.563589240E-1,1.487532258E-2,-2.067647874E-3,3.107643127E-2,3.451514118E-2
2.611297570E-1,2.865767479E-2,-6.784129888E-3,2.299308777E-3,2.953935618E-2
2.658998090E-1,2.572648972E-2,-2.785233036E-2,2.804946899E-2,4.716330449E-2
2.706706950E-1,1.811573654E-2,-2.733829245E-2,3.218173981E-2,4.594808507E-2
2.754423090E-1,2.005007118E-2,-1.508131623E-2,-3.416919708E-2,4.239086556E-2
2.802131430E-1,2.430274338E-2,-3.596642986E-2,-4.759788513E-2,6.441867805E-2
2.849831950E-1,3.086142987E-2,-4.945241660E-2,1.202392578E-2,5.951927547E-2
2.897540800E-1,2.796701342E-2,-3.685888648E-2,2.355003357E-2,5.191662001E-2
2.945256950E-1,2.040557563E-2,-2.685778216E-2,2.312183380E-2,4.089434163E-2
2.992965280E-1,2.006806433E-2,-2.642107010E-2,1.330280304E-2,3.574583500E-2
3.040665800E-1,1.033461094E-2,-3.776115179E-2,3.661155701E-3,3.932064126E-2
3.088374130E-1,7.721483707E-4,-5.129842833E-2,1.536273956E-2,5.355500657E-2
3.136090800E-1,-6.302751601E-3,-4.343983904E-2,3.157615662E-2,5.407215512E-2
3.183799130E-1,-6.198957562E-3,-2.395371348E-2,2.398777008E-2,3.446187136E-2
3.231499660E-1,-8.425153792E-3,-1.651137695E-2,7.110595703E-3,1.985369881E-2
3.279208510E-1,-2.009633929E-2,-1.393255591E-2,2.348423004E-2,3.390410045E-2
3.326924660E-1,-1.983521879E-2,-9.070731699E-3,3.960514069E-2,4.521372852E-2
3.374632990E-1,-2.191156149E-2,-4.258841276E-3,4.841232300E-2,5.331047996E-2
3.422333510E-1,-2.629046515E-2,-4.179485142E-3,3.588199615E-2,4.467856647E-2
3.470041840E-1,-3.060914576E-2,2.914287150E-3,4.005336761E-2,5.049440693E-2
3.517757990E-1,-2.779539675E-2,1.226142421E-2,4.653072357E-2,5.557008944E-2
3.565466840E-1,-2.264209837E-2,1.667124778E-2,3.169250488E-2,4.236755819E-2
3.613167360E-1,-2.231542766E-2,2.346500382E-2,2.887439728E-2,4.338566047E-2
3.660875700E-1,-2.902109921E-2,2.780672908E-2,1.666259766E-2,4.350954541E-2
3.708592360E-1,-2.619671822E-2,2.973259240E-2,9.347915649E-3,4.071459963E-2
3.756300700E-1,-2.108429372E-2,3.394171968E-2,1.157855988E-2,4.160109164E-2
3.804001220E-1,-2.310151979E-2,4.051779211E-2,-7.471084595E-3,4.723546124E-2
3.851709550E-1,-2.506755292E-2,4.937454686E-2,-2.862548828E-2,6.233495541E-2
3.899425700E-1,-2.704021335E-2,5.100710317E-2,-3.060531616E-2,6.534204687E-2
3.947134550E-1,-1.245342568E-2,4.551087692E-2,-3.256607056E-2,5.733128885E-2
3.994835070E-1,-7.481880486E-3,3.778768703E-2,-5.340957642E-2,6.585188441E-2
4.042543410E-1,-1.205734536E-2,3.486829996E-2,-6.690597534E-2,7.640410628E-2
4.090259550E-1,-5.897134542E-5,3.196360916E-2,-6.605911255E-2,7.338584427E-2
4.137968410E-1,9.453631938E-3,2.673621103E-2,-6.523323059E-2,7.113065802E-2
4.185668930E-1,1.409278065E-2,1.448391750E-2,-5.970001221E-2,6.302762720E-2
4.233377260E-1,2.580073476E-2,7.141243666E-3,-6.133651733E-2,6.692416330E-2
4.281093930E-1,2.551679313E-2,9.320694953E-3,-5.350112915E-2,6.000294082E-2
4.328802260E-1,2.048059553E-2,1.384076849E-2,-5.522823334E-2,6.050768069E-2
4.376502780E-1,2.263276279E-2,1.600051299E-2,-4.984760284E-2,5.703544404E-2
4.424211110E-1,3.188996017E-2,3.911808133E-3,-4.216957092E-2,5.301456889E-2
4.471927260E-1,3.631217033E-2,1.456890255E-3,-4.405117035E-2,5.710693349E-2
4.519636110E-1,3.355996311E-2,3.763638437E-3,-2.224826813E-2,4.044034536E-2
4.567336630E-1,3.084274381E-2,-3.451820463E-3,-6.942749023E-4,3.104306570E-2
4.615044970E-1,2.345316112E-2,-3.428429365E-3,-6.866455078E-4,2.371236759E-2
4.662761110E-1,2.085484564E-2,-3.434155136E-3,-5.414009094E-3,2.181810035E-2
4.710469970E-1,2.539151907E-2,-8.176382631E-3,1.748085022E-3,2.673271918E-2
4.758170490E-1,2.985396981E-2,-1.763371006E-2,1.120281219E-2,3.643775851E-2
4.805878820E-1,2.006062120E-2,-1.512089930E-2,1.108360291E-2,2.745753762E-2
4.853595490E-1,8.032038808E-3,-3.160450608E-3,3.860473633E-3,9.455440345E-3
4.901303820E-1,1.505448669E-2,3.908306360E-3,1.092720032E-2,1.900831752E-2
4.949004340E-1,2.437586337E-2,1.096106693E-2,-3.401756287E-3,2.694252492E-2
4.996712680E-1,1.935824752E-2,1.554489508E-2,-2.232456207E-2,3.338819525E-2
5.044429340E-1,7.226526737E-3,1.305988431E-2,-3.157901764E-2,3.492875065E-2
5.092137680E-1,2.384267747E-3,1.531290263E-2,-3.600311279E-2,3.919686021E-2
5.139838200E-1,1.655321568E-2,1.277612895E-2,-2.853488922E-2,3.537623953E-2
5.187546530E-1,2.581530809E-2,7.894620299E-3,-1.640224457E-2,3.158779493E-2
5.235263200E-1,2.082186192E-2,7.774285972E-3,-4.387855530E-3,2.265486112E-2
5.282971530E-1,2.062042803E-2,7.684532553E-3,-6.718635559E-3,2.300856702E-2
5.330672050E-1,1.096595824E-2,1.473892480E-2,-1.139640808E-2,2.161865540E-2
5.378380910E-1,1.403413713E-3,2.172834054E-2,-8.917808533E-3,2.352908119E-2
5.426097050E-1,3.760658205E-3,2.153896540E-2,-2.069187164E-2,3.010354021E-2
5.473805380E-1,8.496806026E-3,1.420895010E-2,-8.641242981E-3,1.867514541E-2
5.521505910E-1,3.701552749E-3,6.947636604E-3,1.753139496E-2,1.921772506E-2
5.569214760E-1,-1.053912938E-2,-2.186074853E-4,1.025485992E-2,1.470656960E-2
5.616930910E-1,-1.281820983E-2,-2.603732049E-3,3.045082092E-3,1.342975982E-2
5.664639240E-1,-1.267664880E-2,2.178661525E-3,-1.727104187E-3,1.297793819E-2
5.712340280E-1,-1.734026894E-2,-4.916958511E-3,-1.711845398E-3,1.810502203E-2
5.760048610E-1,-1.959110796E-2,-7.176257670E-3,5.422592163E-3,2.155724220E-2
5.807764760E-1,-2.416881174E-2,1.990795135E-5,1.012134552E-2,2.620254744E-2
5.855473090E-1,-1.921503991E-2,5.166977644E-6,1.952934265E-2,2.739731757E-2
5.903173610E-1,-1.190290600E-2,-7.130354643E-3,1.224040985E-2,1.850266905E-2
5.950882470E-1,-9.429864585E-3,-7.055781782E-3,5.015373230E-3,1.280079573E-2
5.998598610E-1,-1.169746369E-2,4.858616740E-3,-6.897926331E-3,1.442283610E-2
6.046306950E-1,-1.637814566E-2,4.803333431E-3,-1.871013641E-2,2.532557743E-2
6.094007990E-1,-1.386888698E-2,2.374365926E-3,-1.855468750E-2,2.328647822E-2
6.141716320E-1,-9.035013616E-3,1.421074197E-2,-2.077388763E-2,2.674193459E-2
6.189432470E-1,-2.086033672E-2,1.167487726E-2,-3.484630585E-2,4.225779737E-2
6.237140800E-1,-2.783880383E-2,-3.364421427E-4,-4.405212402E-2,5.211239606E-2
6.284841840E-1,-2.523416653E-2,-3.482103348E-4,-3.893756866E-2,4.640063216E-2
6.332550180E-1,-2.980203927E-2,1.957058907E-3,-3.623867035E-2,4.695990686E-2
6.380266320E-1,-2.720953524E-2,1.840684563E-3,-3.830909729E-2,4.702482177E-2
6.427975180E-1,-3.173272312E-2,1.359624788E-2,-3.086662292E-2,4.630952476E-2
6.475675700E-1,-3.149812669E-2,1.818797365E-2,-1.636409760E-2,3.988380699E-2
6.523384030E-1,-2.648856491E-2,1.345384866E-3,-1.860141754E-2,3.239547601E-2
