"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.034041230E-1,6.758660078E-3,-1.113077253E-2,-1.586484909E-1,1.591820255E-1
1.082949050E-1,1.085151732E-2,3.044791520E-3,-1.195535660E-1,1.200836430E-1
1.131856860E-1,5.649268627E-3,2.318616211E-2,-7.421779633E-2,7.796020550E-2
1.180764670E-1,5.306124687E-3,2.872323245E-2,-6.105041504E-2,6.767815170E-2
1.229672480E-1,5.025565624E-3,3.176159412E-2,-8.051776886E-2,8.670159325E-2
1.278580300E-1,4.744589329E-3,2.563796937E-2,-9.923648834E-2,1.026045672E-1
1.327488110E-1,9.020879865E-3,6.161406636E-3,-1.195945740E-1,1.200924699E-1
1.376395920E-1,1.315155625E-2,5.866363645E-3,-1.438684464E-1,1.445873698E-1
1.425303730E-1,1.028843224E-2,1.249535382E-2,-1.399030685E-1,1.408362677E-1
1.474211550E-1,7.507190108E-3,1.198802888E-2,-1.042480469E-1,1.052032605E-1
1.523119360E-1,2.608895302E-3,1.152257621E-2,-5.411148071E-2,5.538617555E-2
1.572027170E-1,-4.484057426E-3,4.187442362E-3,-1.289939880E-2,1.428411474E-2
1.620934980E-1,-8.958309889E-3,-2.897538245E-3,-1.242256165E-2,1.558740138E-2
1.669842800E-1,-4.079461098E-3,-7.425591350E-3,-4.891681671E-2,4.964510416E-2
1.718750610E-1,5.277276039E-3,-2.215057611E-4,-9.808444977E-2,9.822656460E-2
1.767658420E-1,5.099505186E-3,4.427142441E-3,-1.087017059E-1,1.089112731E-1
1.816566230E-1,1.425775886E-2,1.980140805E-3,-6.812381744E-2,6.962800549E-2
1.865474050E-1,9.200915694E-3,1.932434738E-3,3.584861755E-3,1.006192762E-2
1.914381860E-1,4.334658384E-3,-2.784386277E-3,5.223083496E-2,5.248430423E-2
1.963289670E-1,1.824885607E-3,-1.201166213E-2,4.836940765E-2,4.987193430E-2
