"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.038084100E-2,8.858165890E-2,1.316754371E-1,9.875657082E0,9.876932111E0
2.282688300E-2,9.576395154E-2,1.388577372E-1,9.863686562E0,9.865128727E0
2.527292400E-2,9.336984903E-2,1.340695322E-1,9.851716042E0,9.853070665E0
2.771896600E-2,8.379345387E-2,1.292813420E-1,9.861292839E0,9.862496209E0
3.016500800E-2,8.618755639E-2,1.244931296E-1,9.873263359E0,9.874424347E0
3.261104900E-2,9.097574651E-2,1.197049394E-1,9.873263359E0,9.874408094E0
3.505709100E-2,9.336984903E-2,1.268872321E-1,9.870868683E0,9.872125751E0
3.750313300E-2,8.618755639E-2,1.268872321E-1,9.878050804E0,9.879241689E0
3.994917400E-2,8.379345387E-2,1.173108369E-1,9.868474960E0,9.869527913E0
4.239521600E-2,8.379345387E-2,1.220990419E-1,9.866081238E0,9.867192534E0
4.484125800E-2,8.139935881E-2,1.268872321E-1,9.880446434E0,9.881596428E0
4.728729900E-2,7.900525630E-2,1.316754371E-1,9.880446434E0,9.881639641E0
4.973334100E-2,7.661115378E-2,1.340695322E-1,9.878050804E0,9.879257644E0
5.217938300E-2,8.379345387E-2,1.316754371E-1,9.890022278E0,9.891253733E0
5.462542400E-2,9.097574651E-2,1.316754371E-1,9.882840157E0,9.884136005E0
5.707146600E-2,9.097574651E-2,1.268872321E-1,9.868474960E0,9.869709975E0
5.951750800E-2,8.858165890E-2,1.292813420E-1,9.885233879E0,9.886476077E0
6.196354900E-2,8.858165890E-2,1.149167418E-1,9.878050804E0,9.879116370E0
6.440959100E-2,8.858165890E-2,1.053403467E-1,9.870868683E0,9.871828192E0
6.685563300E-2,8.379345387E-2,1.244931296E-1,9.856505394E0,9.857647715E0
6.930167400E-2,7.900525630E-2,1.268872321E-1,9.842140198E0,9.843275160E0
7.174771600E-2,8.139935881E-2,1.220990419E-1,9.861292839E0,9.862384625E0
7.419375800E-2,8.618755639E-2,1.173108369E-1,9.875657082E0,9.876729870E0
7.663979900E-2,8.618755639E-2,1.125226393E-1,9.875657082E0,9.876674158E0
7.908584100E-2,7.421706617E-2,1.197049394E-1,9.873263359E0,9.874267912E0
8.153188300E-2,7.900525630E-2,1.173108369E-1,9.861292839E0,9.862307038E0
8.397792400E-2,1.005521491E-1,1.244931296E-1,9.849322319E0,9.850622286E0
8.642396600E-2,9.336984903E-2,1.268872321E-1,9.849322319E0,9.850582137E0
8.887000800E-2,8.379345387E-2,1.244931296E-1,9.854109764E0,9.855252362E0
9.131604900E-2,8.139935881E-2,1.340695322E-1,9.849322319E0,9.850571082E0
9.376209100E-2,7.900525630E-2,1.340695322E-1,9.861292839E0,9.862520617E0
9.620813300E-2,7.661115378E-2,1.316754371E-1,9.866081238E0,9.867257303E0
9.865417400E-2,7.661115378E-2,1.244931296E-1,9.863686562E0,9.864769657E0
1.011002160E-1,7.900525630E-2,1.292813420E-1,9.870868683E0,9.872031404E0
1.035462580E-1,8.858165890E-2,1.173108369E-1,9.861292839E0,9.862388402E0
1.059922990E-1,9.815804660E-2,1.125226393E-1,9.861292839E0,9.862423272E0
1.084383410E-1,9.336984903E-2,1.244931296E-1,9.856505394E0,9.857733768E0
1.108843830E-1,9.097574651E-2,1.268872321E-1,9.849322319E0,9.850559735E0
1.133304240E-1,8.618755639E-2,1.316754371E-1,9.854109764E0,9.855366353E0
1.157764660E-1,9.097574651E-2,1.340695322E-1,9.858899117E0,9.860230373E0
1.182225080E-1,9.815804660E-2,1.220990419E-1,9.861292839E0,9.862537180E0
1.206685490E-1,9.336984903E-2,1.149167418E-1,9.849322319E0,9.850435215E0
1.231145910E-1,9.097574651E-2,1.173108369E-1,9.854109764E0,9.855227936E0
1.255606330E-1,8.139935881E-2,1.149167418E-1,9.866081238E0,9.867086232E0
1.280066740E-1,8.379345387E-2,1.149167418E-1,9.866081238E0,9.867106272E0
1.304527160E-1,8.858165890E-2,1.316754371E-1,9.858899117E0,9.860176313E0
1.328987580E-1,8.139935881E-2,1.364636272E-1,9.866081238E0,9.867360699E0
1.353447990E-1,9.097574651E-2,1.364636272E-1,9.878050804E0,9.879412260E0
1.377750080E-1,8.858165890E-2,1.364636272E-1,9.873263359E0,9.874603708E0
1.401802160E-1,7.900525630E-2,1.268872321E-1,9.878050804E0,9.879181641E0
1.425767260E-1,8.618755639E-2,1.268872321E-1,9.878050804E0,9.879241689E0
1.449739140E-1,9.097574651E-2,1.292813420E-1,9.858899117E0,9.860166431E0
1.473707890E-1,8.858165890E-2,1.220990419E-1,9.870868683E0,9.872021244E0
1.497670390E-1,7.900525630E-2,1.197049394E-1,9.882840157E0,9.883880850E0
1.521635490E-1,7.182296365E-2,1.244931296E-1,9.873263359E0,9.874309416E0
1.545603200E-1,8.618755639E-2,1.244931296E-1,9.863686562E0,9.864848677E0
1.569573510E-1,8.858165890E-2,1.316754371E-1,9.866081238E0,9.867357505E0
1.593540180E-1,8.139935881E-2,1.340695322E-1,9.863686562E0,9.864933506E0
1.617504240E-1,8.618755639E-2,1.197049394E-1,9.868474960E0,9.869577276E0
1.641476120E-1,9.097574651E-2,1.125226393E-1,9.863686562E0,9.864747869E0
1.665445910E-1,7.900525630E-2,1.268872321E-1,9.854109764E0,9.855243348E0
1.689412060E-1,7.421706617E-2,1.292813420E-1,9.868474960E0,9.869600796E0
1.713377680E-1,7.421706617E-2,1.364636272E-1,9.858899117E0,9.860122833E0
1.737340700E-1,8.618755639E-2,1.364636272E-1,9.866081238E0,9.867401360E0
1.761309450E-1,8.858165890E-2,1.173108369E-1,9.878050804E0,9.879144509E0
1.785274040E-1,7.661115378E-2,1.244931296E-1,9.878050804E0,9.879132325E0
1.809235490E-1,8.139935881E-2,1.340695322E-1,9.885233879E0,9.886478106E0
1.833204240E-1,8.379345387E-2,1.244931296E-1,9.878050804E0,9.879190633E0
1.857171430E-1,8.379345387E-2,1.268872321E-1,9.868474960E0,9.869646385E0
1.881134450E-1,9.336984903E-2,1.149167418E-1,9.858899117E0,9.860010932E0
1.905101640E-1,8.618755639E-2,1.053403467E-1,9.858899117E0,9.859838572E0
1.929069350E-1,8.379345387E-2,1.220990419E-1,9.868474960E0,9.869585987E0
1.953037060E-1,8.618755639E-2,1.340695322E-1,9.868474960E0,9.869761951E0
